,TIME,POSICAO,NOME,PRECO,VALORIZACAO,PONTOS,MEDIA,JOGOS,RODADA,G,A,FT,FD,FF,FS,PP,I,PI,PS,SG,DP,DE,DS,GC,CV,CA,GS,FC,PC,NOME_ID,TIME_ID,POSICAO_ID,CAP
161,Flamengo,Meia,Everton Ribeiro,7.56,0.19,3.3,4.07,6,7,,,,1.0,,1.0,,,8.0,,,,,2.0,,,,,,,51772,262,4,0.0
162,Flamengo,Zagueiro,Pablo,7.68,0.36,5.4,4.6,3,7,,,,1.0,,,,1.0,4.0,,1.0,,,,,,,,1.0,,69165,262,3,0.0
163,Palmeiras,Atacante,Rony,11.46,2.05,12.2,6.02,6,7,1.0,,,1.0,,2.0,,1.0,,,,,,2.0,,,,,1.0,,91607,275,5,0.0
164,Athlético-PR,Lateral,Abner Vinícius,7.26,0.66,3.8,4.47,7,7,,,,,,1.0,,,11.0,,,,,5.0,,,1.0,,2.0,,104513,293,2,0.0
165,Fluminense,Zagueiro,Nino,13.3,0.64,6.0,4.6,7,7,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,91708,266,3,0.0
166,Flamengo,Lateral,Ayrton Lucas,5.7,1.51,6.8,2.83,3,7,,,,,1.0,3.0,,,2.0,,1.0,,,,,,,,1.0,,88393,262,2,0.0
167,Flamengo,Atacante,Gabriel,9.96,0.19,5.8,2.53,6,7,,,,1.0,1.0,3.0,,,3.0,,,,,,,,,,1.0,,83257,262,5,5.8
168,São Paulo,Goleiro,Jandrei,6.41,-0.68,0.0,2.0,8,8,,,,,,,,,,,,,2.0,,,,,2.0,,,86508,276,1,0.0
169,Flamengo,Atacante,Bruno Henrique,15.25,-0.4,2.9,6.3,5,8,,,,,,1.0,,2.0,4.0,,,,,3.0,,,,,2.0,,90285,262,5,0.0
170,Flamengo,Lateral,Ayrton Lucas,6.35,0.65,7.5,4.0,4,8,,,,,,,,,9.0,,,,,7.0,,,,,,,88393,262,2,0.0
171,São Paulo,Lateral,Rafinha,9.81,1.75,8.8,3.11,8,8,,1.0,,,1.0,1.0,,,7.0,,,,,4.0,,,1.0,,2.0,,38144,276,2,0.0
172,Flamengo,Meia,Arrascaeta,19.33,-0.42,2.9,9.07,7,8,,,,,1.0,2.0,,,10.0,,,,,2.0,,,,,1.0,,87863,262,4,0.0
173,Flamengo,Meia,Willian Arão,7.07,0.74,3.1,4.26,7,8,,,,1.0,,2.0,,,3.0,,,,,1.0,,,,,,,78478,262,4,0.0
174,Flamengo,Zagueiro,Rodrigo Caio,6.17,-0.93,0.0,2.67,3,8,,,,,,,,,,,,,,,,,,,,,73800,262,3,0.0
175,Atlético-MG,Atacante,Hulk,22.1,0.2,12.4,9.82,6,8,1.0,,,,4.0,1.0,,1.0,10.0,,,,,2.0,,,,,2.0,,39148,282,5,0.0
176,Flamengo,Técnico,Paulo Sousa,9.93,-0.08,4.05,4.92,7,8,,,,,,,,,,,,,,,,,,,,,89284,262,6,0.0
177,São Paulo,Zagueiro,Arboleda,6.24,-0.09,0.2,2.78,6,8,,,,,,,,,4.0,,,,,1.0,,,,,2.0,,91573,276,3,0.0
178,Flamengo,Atacante,Gabriel,11.33,1.37,18.2,3.47,7,8,1.0,,,,,1.0,,2.0,6.0,,,,,2.0,,,1.0,,,,83257,262,5,18.2
179,Flamengo,Meia,Everton Ribeiro,7.45,-0.11,2.2,3.8,7,8,,,,,1.0,1.0,,,6.0,,,,,2.0,,,,,3.0,,51772,262,4,0.0
